@relation Example

@attribute text string
@attribute isValid {yes,no}

@data
'emblem usually consisting of a rectangular piece of cloth of distinctive design flag',no
'a box or chest or cabinet for holding hand tools toolbox,tool chest,tool cabinet,tool case',no
'any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music key,tonality',yes
'a formation of military planes maintained over ground operations or targets; \"an air umbrella over England\" umbrella',yes
'(from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line modem',yes
'someone who takes more time than necessary; someone who lags behind dawdler,drone,laggard,lagger,trailer,poke',yes
'a single chance or instance; \"he couldn\'t afford $50 a throw\" throw',yes
'a clamp for holding pipe that is to be cut or threaded pipe vise,pipe clamp',no
'mechanical device that attaches to a garden hose for watering lawn or garden sprinkler',no
'a bit used in drilling for oil drilling bit,drill bit',yes
'little-known nocturnal fish of warm shallow seas with an oblong compressed body sweeper',yes
'a page or text that is vertically divided; \"the newspaper devoted several columns to the subject\"; \"the bookkeeper used pages that were divided into columns\" column',yes
'seal consisting of a ring for packing pistons or sealing a pipe joint gasket',no
'a cut of beef from the shoulder blade blade',yes
'a powerful light with reflector; attached to the front of an automobile or locomotive headlight,headlamp',no
'an appliance included in some electric refrigerators for making ice cubes ice maker',no
'the absence of matter vacuum,vacuity',yes
'a small wheel without spokes (as on a roller skate) roller',no
'a light fibrous material used as an insulator mineral wool,rock wool',no
'a path or strip (as cut by one course of mowing) swath,belt',yes
'a person employed to keep watch for some anticipated event lookout,lookout man,sentinel,sentry,watch,spotter,scout,picket',yes
'a former unit of length for cloth equal to 1/16 of a yard nail',yes
'shallow container made of metal pan',no
'plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals iris,flag,fleur-de-lis,sword lily',yes
'a long oar used in an open boat sweep,sweep oar',yes
'a small cushion that is used for decorative purposes throw pillow',no
'a young woman in the 1920s who flaunted her unconventional conduct and dress flapper',yes
'sensitivity similar to that of a receptor organ; \"he had a special antenna for public relations\" antenna,feeler',yes
'a social or business relationship; \"a valuable financial affiliation\"; \"he was sorry he had to sever his ties with other members of the team\"; \"many close associations with England\" affiliation,association,tie,tie-up',yes
'a shelter or screen providing protection from enemy fire or from the weather sconce',yes
'a worker skilled in building offices or dwellings etc. construction worker,hard hat',yes
'surveying instrument consisting of a straight rod painted in bands of alternate red and white each one foot wide; used for sightings by surveyors range pole,ranging pole,flagpole',no
'slang for a paunch pot,potbelly,bay window,corporation,tummy',yes
'the small projection of a mammary gland nipple,mammilla,mamilla,pap,teat,tit',yes
'a bench in a public park park bench',no
'a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp pad,inkpad,inking pad,stamp pad',no
'movement that causes the formation of a curve bending,bend',yes
'poker in which each player receives hole cards and the remainder are dealt face up; bets are placed after each card is dealt stud,stud poker',yes
'a bony hollow into which a structure fits socket',no
'small flag indicating a ship\'s nationality jack',no
'loose soil rich in organic matter mold,mould',yes
'reproduction by applying ink to paper as for publication printing,printing process',no
'gauge for measuring and indicating fluid pressure pressure gauge,pressure gage',yes
'the part of a garment that is attached at the armhole and that provides a cloth covering for the arm sleeve,arm',yes
'wheeled vehicle that can be pushed by a person; may have one or two or four wheels; \"he used a handcart to carry the rocks away\"; \"their pushcart was piled high with groceries\" handcart,pushcart,cart,go-cart',no
'temporary living quarters diggings,digs,domiciliation,lodgings,pad',yes
'a decorative framework to conceal curtain fixtures at the top of a window casing cornice,valance,valance board,pelmet',no
'a window that sticks out from the outside wall of a house bay window,bow window',no
'the limits within which something can be effective; \"range of motion\"; \"he was beyond the reach of their fire\" range,reach',yes
'a light-tight supply chamber holding the film and supplying it for exposure as required magazine,cartridge',yes
'(law) a group of people summoned for jury service (from whom a jury will be chosen) panel,venire',yes
'border consisting of anything placed on the edge to finish something (such as a fringe on clothing or on a rug) edging',yes
'a jaunty rhythm in music lilt,swing',yes
'a framework in which a picture is mounted picture frame',no
'the act of raising something; \"he responded with a lift of his eyebrow\"; \"fireman learn several different raises for getting ladders up\" lift,raise,heave',yes
'a room or establishment where alcoholic drinks are served over a counter; \"he drowned his sorrows in whiskey at the bar\" barroom,bar,saloon,ginmill,taproom',yes
'a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut padlock',no
'the swift release of a store of affective force; \"they got a great bang out of it\"; \"what a boot!\"; \"he got a quick rush from injecting heroin\"; \"he does it for kicks\" bang,boot,charge,rush,flush,thrill,kick',yes
'a turbine that is driven by the wind wind turbine',yes
'a concave shape with an open top bowl,trough',no
'a center of activity or interest or commerce or transportation; a focal point around which events revolve; \"the playground is the hub of parental supervision\"; \"the airport is the economic hub of the area\" hub',yes
'the act of rolling something (as the ball in bowling) roll,bowl',yes
'a stool that has one or two steps that fold under the seat step stool',no
'a device that decreases the amplitude of electronic, mechanical, acoustical, or aerodynamic oscillations damper,muffler',no
'(nautical) a plate on a ship\'s stern on which the name is inscribed escutcheon',yes
'the finish of a contest in which the score is tied and the winner is undecided; \"the game ended in a draw\"; \"their record was 3 wins, 6 losses and a tie\" draw,standoff,tie',yes
'a person who fastens or makes fast; \"he found the door fastened and wondered who the fastener was\" fastener',yes
'a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension detergent',no
'a correctional institution for those convicted of major crimes penitentiary,pen',yes
'material for making rails or rails collectively railing',no
'a white or silvered surface where pictures can be projected for viewing screen,silver screen,projection screen',no
'a small model of a house used as a toy by children dollhouse,doll\'s house',no
'a plumbing fixture for defecation and urination toilet,can,commode,crapper,pot,potty,stool,throne',no
'a mechanical device that cleans the windshield windshield wiper,windscreen wiper,wiper,wiper blade',no
'(forestry) the stump of a tree that has been felled or headed for the production of saplings stool',yes
'a spatula used to mix or apply putty putty knife',no
'a handsaw used for pruning trees pruning saw',no
'a straight-backed chair without arms straight chair,side chair',no
'any substance such as manure or a mixture of nitrates used to make soil more fertile fertilizer,fertiliser,plant food',no
'a device used for shaping metal die',no
'a dispenser that turns a liquid (such as perfume) into a fine mist atomizer,atomiser,spray,sprayer,nebulizer,nebuliser',no
'a connection (like a clamp or vise) between two things so they move together yoke,coupling',yes
'a small fragment; \"overheard snatches of their conversation\" snatch,bit',yes
'a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz swing,swing music,jive',yes
'structural member consisting of the vertical part of a stair or step riser',no
'a cutting implement; a tool for cutting cutter,cutlery,cutting tool',no
'a row of unravelled stitches; \"she got a run in her stocking\" run,ladder,ravel',yes
'the electrode in a transistor where electrons originate emitter',yes
'misfortune resulting in lost effort or money; \"his career was in the gutter\"; \"all that work went down the sewer\"; \"pensions are in the toilet\" gutter,sewer,toilet',yes
'the 25th letter of the Roman alphabet Y,y,wye',yes
'the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offers support when passing through a doorway doorsill,doorstep,threshold',yes
'sports equipment consisting of a piece of thick padding on the floor for gymnastic sports mat,gym mat',no
'an electrical device with two or three pins that is inserted in a socket to make an electrical connection plug,male plug',no
'(baseball) a pitch thrown with maximum velocity; \"he swung late on the fastball\"; \"he showed batters nothing but smoke\" fastball,heater,smoke,hummer,bullet',yes
'a tool for gutting fish gutter',no
'a fan that moves air out of an enclosure exhaust fan',yes
'the part of a gunlock that strikes the percussion cap when the trigger is pulled hammer,cock',no
'edge tool used in shaving razor',yes
'enlarged tip of a stem that bears the floral parts receptacle',yes
'a punch served in a pitcher instead of a punch bowl cup',yes
'equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other) camera,photographic camera',no
'screen to keep insects from entering a building through the open window window screen',no
'(botany) a plant lasting for three seasons or more perennial',no
'aircraft supported only by the dynamic action of air against its surfaces glider,sailplane',yes
'electronic equipment that increases strength of signals passing through it amplifier',no
'the reserve players on a team; \"our team has a strong bench\" bench',yes
'U-shaped plate nailed to underside of horse\'s hoof horseshoe,shoe',yes
'similar to the mandrill but smaller and less brightly colored drill,Mandrillus leucophaeus',yes
'a slit in a garment (as in the back seam of a jacket) vent',yes
'a mental position from which things are viewed; \"we should consider this problem from the viewpoint of the Russians\"; \"teaching history gave him a special point of view toward current events\" point of view,viewpoint,stand,standpoint',yes
'a roller that has an absorbent surface used for spreading paint paint roller',no
'(electronics) the part of a transistor that separates the emitter from the collector base',no
'(golf) a low running approach shot chip,chip shot',yes
'a pad placed under a carpet carpet pad,rug pad,underlay,underlayment',no
'the outer skin of a potato jacket',yes
'a filter to remove impurities from the water supply water filter',no
'(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species; \"a mule is a cross between a horse and a donkey\" hybrid,crossbreed,cross',yes
'a radio receiver that moves automatically across some selected range of frequencies looking for some signal or condition; \"they used scanners to monitor police radio channels\" scanner,electronic scanner',yes
'the telephone wire that connects to the handset telephone cord,phone cord',no
'(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately; \"he had a sharp crease in his trousers\" trousers,pair of trousers,pant',no
'a machine used for picking hops hop-picker,hopper',yes
'any substance that causes injury or illness or death of a living organism poison,toxicant,poisonous substance',no
'a thin strip (wood or metal) slat,spline',no
'drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas trap',yes
'a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows) drill',no
'a movable staircase that passengers use to board or leave an aircraft ramp',yes
'a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons Angle',yes
'a series of (usually metal) rings or links fitted into one another to make a flexible ligament chain',no
'the position of professor; \"he was awarded an endowed chair in economics\" professorship,chair',yes
'the quantity contained in a pot pot,potful',yes
'mounting consisting of a border or background for a picture mat,matting',yes
'a table at which meals are served; \"he helped her clear the dining table\"; \"a feast was spread upon the board\" dining table,board',yes
'an applicance to extract moisture from the air and make the environment more comfortable; \"in summer, we need to run the dehumidifier in the basement\" dehumidifier',yes
'the quantity a cup will hold; \"he drank a cup of coffee\"; \"he borrowed a cup of sugar\" cup,cupful',yes
'a passage (a pipe or tunnel) through which water or electric wires can pass; \"the computers were connected through a system of conduits\" conduit',yes
'indicator that establishes the horizontal when a bubble is centered in a tube of liquid level,spirit level',no
'a truncated cloth cone mounted on a mast; used (e.g., at airports) to show the direction of the wind windsock,wind sock,sock,air sock,air-sleeve,wind sleeve,wind cone,drogue',no
'a metal conductor that carries electricity over a distance wire,conducting wire',yes
'a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood iron,Fe,atomic number 26',yes
'(Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat\'s legs and horns and ears; identified with Roman Sylvanus or Faunus Pan,goat god',yes
'conducts current between rotating and stationary parts of a generator or motor brush',no
'an optical device for projecting a beam of light projector',yes
'a series of stamps operated in one mortar for crushing ores battery,stamp battery',no
'a person who travels by foot pedestrian,walker,footer',yes
'(sports) an official who keeps track of the time elapsed timekeeper,timer',yes
'a quality of a given color that differs slightly from another color; \"after several trials he mixed the shade of pink that she wanted\" shade,tint,tincture,tone',yes
'a tool with a flat blade attached at right angles to a long handle hoe',no
'a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers harp',yes
'terrestrial plant-eating insect with hind legs adapted for leaping grasshopper,hopper',yes
'a device (generally used by carpenters) that holds things firmly together clamp,clinch',no
'small round bread leavened with baking-powder or soda biscuit',no
'the act of clipping or snipping clip,clipping,snip',yes
'a step in walking or running pace,stride,tread',yes
'a small shallow dish for holding a cup at the table saucer',no
'a mechanical device for scattering something (seed or fertilizer or sand etc.) in all directions broadcaster,spreader',no
'an abstract place usually conceived as having depth; \"a good actor communicates on several levels\"; \"a simile has at least two layers of meaning\"; \"the mind functions on many strata simultaneously\" level,layer,stratum',yes
'any implement that is used to make something (an edge or a point) sharper; \"a knife sharpener\" sharpener',yes
'a wrench with a handle onto which sockets of different sizes can be fitted socket wrench',no
'an elongated leather strip (or a strip of similar material) for binding things together or holding something in position strap',no
'a bowl-shaped vessel in which substances can be ground and mixed with a pestle mortar',no
'an ironclad vessel built by Federal forces to do battle with the Merrimac Monitor',yes
'the wool of a sheep or similar animal fleece',no
'a portable power saw with a reciprocating blade; can be used with a variety of blades depending on the application and kind of cut; generally have a plate that rides on the surface that is being cut saber saw,jigsaw,reciprocating saw',no
'an instrument of torture that is used to heat or crush the foot and leg boot,the boot,iron boot,iron heel',yes
'someone who works for a company that moves furniture remover',yes
'outbuilding that serves as a shelter for a dog kennel,doghouse,dog house',no
'neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front; \"he stood in front of the mirror tightening his necktie\"; \"he wore a vest and tie\" necktie,tie',no
'(botany) a leaf that that is modified in such a way as to resemble a pitcher or ewer pitcher',yes
'total admission receipts at a sports event gate',yes
'a radical who advocates the abolition of social distinctions leveler,leveller',yes
'a projection used for strength or for attaching to another object flange,rim',yes
'a worker who attaches something by nailing it nailer',yes
'a sheath worn to protect a finger fingerstall,cot',no
'one of two stout poles with foot rests in the middle; used for walking high above the ground; \"he was so tall I thought he was on stilts\" stilt',yes
'a light folding chair camp chair',no
'a person who closes something; \"whoever is the closer has to turn out the lights and lock up\" closer',yes
'part of an organism consisting of an aggregate of cells having a similar structure and function tissue',yes
'a wide scope; \"the sweep of the plains\" sweep,expanse',yes
'footwear that covers the whole foot and lower leg boot',no
'pipefitting that joins two pipes of different diameter reducer',no
'lower or hindmost part of the brain; continuous with spinal cord; (`bulb\' is an old term for medulla oblongata); \"the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning\" medulla oblongata,medulla,bulb',yes
'an indication of potential opportunity; \"he got a tip on the stock market\"; \"a good lead for a job\" tip,lead,steer,confidential information,wind,hint',yes
'(law) the seat for judges in a courtroom bench',yes
'transportation of people or goods by air (especially when other means of access are unavailable) airlift,lift',yes
'ascending stages by which somebody or something can progress; \"he climbed the career ladder\" ladder',yes
'someone who cleans soot from chimneys chimneysweeper,chimneysweep,sweep',yes
'a hollow concave shape made by removing something scoop,pocket',yes
'electrical device consisting of a large array of connected solar cells solar array,solar battery,solar panel',yes
'waterproofed canvas tarpaulin,tarp',no
'glassware collectively; \"She collected old glass\" glass',yes
'a protective covering that is part of a plant hood,cap',yes
'wallboard composed of wood chips or shavings bonded together with resin and compressed into rigid sheets fiberboard,fibreboard,particle board',no
'a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop basketball,basketball game,hoops',yes
'excitation that makes your hair stand up or that chills your bones; \"the movie was an old-fashioned hair-raiser\" hair-raiser,chiller',yes
'separate partitioned area in a public place for a few people; \"the sentry stayed in his box to avoid the cold\" box',yes
'anything worn or placed about the neck; \"the thief was forced to wear a heavy wooden collar\"; \"a collar of flowers was placed about the neck of the winning horse\" collar',yes
'a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc. mallet,hammer',no
'a decoration made by fitting pieces of wood into prepared slots in a surface inlay',no
'a condensed but memorable saying embodying some important fact of experience that is taken as true by many people proverb,adage,saw,byword',yes
'a submerged (or partly submerged) ridge in a river or along a shore; \"the boat ran aground on a submerged bar in the river\" bar',yes
'the stock of basic facilities and capital equipment needed for the functioning of a country or area; \"the industrial base of Japan\" infrastructure,base',yes
'a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball mallet',no
'necklace that fits tightly around a woman\'s neck choker,collar,dog collar,neckband',no
'one who disparages or belittles the worth of something detractor,disparager,depreciator,knocker',yes
'female swan pen',yes
'machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool lathe',no
'something long and thin resembling a blade of grass; \"a blade of lint on his suit\" blade',no
'low table where magazines can be placed and coffee or cocktails are served coffee table,cocktail table',no
'a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel\'s rotation brake shoe,shoe,skid',yes
'a remark to which there is no polite conversational reply conversation stopper,stopper',yes
'any of many shrubs of the genus Rosa that bear roses rose,rosebush',no
'a wall unit containing sound and television systems entertainment center',yes
'degree of deviation from a horizontal plane; \"the roof had a steep pitch\" pitch,rake,slant',yes
'someone who works with their hands; someone engaged in manual labor laborer,manual laborer,labourer,jack',yes
'large padded bag designed to be slept in outdoors; usually rolls up like a bedroll sleeping bag',no
'a fisherman\'s lure with one or more hooks that is jerked up and down in the water jig',yes
'a post made of wood timber',yes
'an outbuilding (or part of a building) for housing automobiles garage',yes
'the Turkish dynasty that ruled the Ottoman Empire from the 13th century to its dissolution after World War I Ottoman,Ottoman dynasty',yes
'a faithful depiction or reflection; \"the best mirror is an old friend\" mirror',yes
'a committee appointed to judge a competition jury,panel',yes
'a booth where articles are displayed for sale stall,stand,sales booth',no
'a soiled or discolored appearance; \"the wine left a dark stain\" stain,discoloration,discolouration',yes
'(ecology) the status of an organism within its environment and community (affecting its survival as a species) niche,ecological niche',yes
'funnel-shaped receptacle; contents pass by gravity into a receptacle below hopper',yes
'a short swinging punch delivered from the side with the elbow bent hook',yes
'adult male horse kept for breeding stud,studhorse',yes
'a small piece or quantity of something; \"a spot of tea\"; \"a bit of paper\"; \"a bit of lint\"; \"I gave him a bit of my mind\" spot,bit',yes
'a muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range mortar,howitzer,trench mortar',yes
'a painting that is applied to a wall surface mural,wall painting',no
'someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous); \"the speaker at commencement\"; \"an utterer of useful maxims\" speaker,talker,utterer,verbalizer,verbaliser',yes
'the Slavic language of Poland Polish',yes
'someone whose work is cutting (as e.g. cutting cloth for garments) cutter',yes
'an outbuilding with a single story; used for shelter or storage shed',no
'the handwear used by fielders in playing baseball baseball glove,glove,baseball mitt,mitt',no
'a television system that is not used for broadcasting but is connected by cables to designated monitors (as in a factory or theater) closed-circuit television',no
'a large vase that usually has a pedestal or feet urn',yes
'an enzyme that catalyzes the conversion of superoxide into hydrogen peroxide and oxygen; \"oxygen free radicals are normally removed in our bodies by the superoxide dismutase enzymes\" superoxide dismutase,SOD',yes
'an air pump operated by hand to inflate something (as a tire) inflater,inflator',no
'a piece of furniture that stands at the side of a dining room; has shelves and drawers buffet,counter,sideboard',yes
'systematic training by multiple repetitions; \"practice makes perfect\" exercise,practice,drill,practice session,recitation',yes
'a special cooking pan for roasting roaster',no
'a divine presence believed by Quakers to enlighten and guide the soul Inner Light,Light,Light Within,Christ Within',yes
'a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon; \"there were bars in the windows to prevent escape\" bar',no
'electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit chip,microchip,micro chip,silicon chip,microprocessor chip',yes
'a candle or flaming torch secured in a sconce sconce',no
'contact with something dangerous or undesirable; \"I had a brush with danger on my way to work\"; \"he tried to avoid any brushes with the police\" brush',yes
'a person who drinks alcoholic beverages (especially to excess) drinker,imbiber,toper,juicer',yes
'a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom cap,pileus',yes
'electrical device inserted in a power line to protect equipment from sudden fluctuations in current surge suppressor,surge protector,spike suppressor,spike arrester,lightning arrester',no
'the layer of air that supports a hovercraft or similar vehicle cushion',yes
'a brace worn to support the back back brace',yes
'shelf that projects from wall above fireplace mantel,mantelpiece,mantle,mantlepiece,chimneypiece',no
'an amplifier for restoring the strength of a transmitted signal booster,booster amplifier,booster station,relay link,relay station,relay transmitter',yes
'the pump in the cooling system of an automobile that cause the water to circulate water pump',no
'the act of branching out or dividing into branches branching,ramification,fork,forking',yes
'a sheet of metal or wood or glass or plastic plate',no
'a wheeled vehicle that has two wheels and is moved by foot pedals bicycle,bike,wheel,cycle',no
'a breathing device for administering long-term artificial respiration respirator,inhalator',yes
'the starting place for each hole on a golf course; \"they were waiting on the first tee\" tee,teeing ground',yes
'a small portable battery-powered electric lamp flashlight,torch',no
'elaboration of an interpretation by the use of decorative (sometimes fictitious) detail; \"the mystery has been heightened by many embellishments in subsequent retellings\" embellishment,embroidery',yes
'a Finnish steam bath; steam is produced by pouring water over heated rocks sauna,sweat room',yes
'a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc. tag,ticket',yes
'a vertical array of numbers or other information; \"he added a column of numbers\" column',yes
'someone who walks at a leisurely pace saunterer,stroller,ambler',yes
'an illuminated area; \"he stepped into the light\" light',yes
'a breed of diary cattle developed on the island of Jersey Jersey',yes
'a mill that grinds roasted coffee beans coffee mill,coffee grinder',yes
'receptacle where something (a pipe or probe or end of a bone) is inserted socket',yes
'a strong post (as on a wharf or quay or ship for attaching mooring lines); \"the road was closed to vehicular traffic with bollards\" bollard,bitt',yes
'street names for gamma hydroxybutyrate soap,scoop,max,liquid ecstasy,grievous bodily harm,goop,Georgia home boy,easy lay',yes
'an iced drink especially white wine and fruit juice cooler',no
'a range with gas rings and an oven for cooking with gas gas range,gas stove,gas cooker',no
'a heavy, closely woven fabric (used for clothing or chairs or sails or tents) canvas,canvass',no
'a condition of spiritual awareness; divine illumination; \"follow God\'s light\" light,illumination',yes
'a brush with short stiff bristles for heavy cleaning scrub brush,scrubbing brush,scrubber',no
'game equipment consisting of a heavy table on which pool is played pool table,billiard table,snooker table',no
'an inclined metal frame at the front of a locomotive to clear the track fender,buffer,cowcatcher,pilot',no
'an extra outer door for protection against severe weather or winter storm door',no
'a medium brown to dark-brown color chocolate,coffee,deep brown,umber,burnt umber',yes
'joist that receives the end of a header in floor or roof framing in order to leave an opening for a staircase or chimney etc. trimmer,trimmer joist',yes
'a growth of similar plants (usually trees) in a particular area; \"they cut down a stand of trees\" stand',yes
'(computer science) a small temporary window in a graphical user interface that appears in order to request information from the user; after the information has been provided the user dismisses the box with `okay\' or `cancel\' dialog box,panel',yes
'a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes golf,golf game',yes
'tanned skin of a sheep with the fleece left on; used for clothing sheepskin,fleece',no
'English runner who in 1954 became the first person to run a mile in less than four minutes (born in 1929) Bannister,Roger Bannister,Sir Roger Gilbert Bannister',yes
'an oil painting on canvas fabric canvas,canvass',no
'cement consisting of a sticky substance that is used as an adhesive glue,gum,mucilage',yes
'a linear measure of 16.5 feet perch,rod,pole',yes
'any of various detergents designed for use in a washing machine for clothing laundry detergent',no
'a long heavy sea wave as it advances towards the shore roller,roll,rolling wave',yes
'the shovel or bucket of a dredge or backhoe scoop,scoop shovel',no
'a glass with a flat bottom but no handle or stem; originally had a round bottom tumbler',no
'a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive detonator,detonating device,cap',yes
'paneling that forms part of a wall wall panel',yes
'coarse beach gravel of small waterworn stones and pebbles (or a stretch of shore covered with such gravel) shingle',yes
'the heavy fire of artillery to saturate an area rather than hit a specific target; \"they laid down a barrage in front of the advancing troops\"; \"the shelling went on for hours without pausing\" barrage,barrage fire,battery,bombardment,shelling',yes
'(music) the distinctive property of a complex sound (a voice or noise or musical sound); \"the timbre of her soprano was rich and lovely\"; \"the muffled tones of the broken bell summoned them to meet\" timbre,timber,quality,tone',yes
'a person who dispenses dispenser',yes
'a game in which players hit a wooden ball through a series of hoops; the winner is the first to traverse all the hoops and hit a peg croquet',yes
'a major division of a long written composition; \"the book of Isaiah\" book',yes
'a protective ornamental covering for a lamp, used to screen a light bulb from direct view lampshade,lamp shade,shade',no
'the quantity that a basin will hold; \"a basinful of water\" basin,basinful',yes
'a pit whose floor is incandescent lava; \"the fire pit of the crater\" fire pit',yes
'the driver\'s seat on a coach; \"an armed guard sat in the box with the driver\" box,box seat',yes
'a person who puts finishing edges on a garment edger',yes
'the act of delivering a blow with the foot; \"he gave the ball a powerful kick\"; \"the team\'s kicking was excellent\" kick,boot,kicking',yes
'an elongated region where a specific condition or characteristic is found; \"a belt of high pressure\" belt',yes
'low table with mirror or mirrors where one sits while dressing or applying makeup dressing table,dresser,vanity,toilet table',no
'a sheet of material (metal, plastic, cardboard, waxed paper, silk, etc.) that has been perforated with a pattern (printing or a design); ink or paint can pass through the perforations to create the printed pattern on the surface below stencil',yes
'a roughly cylindrical vessel that is open at the top bucket,pail',no
'device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone valve',no
'measuring instrument for measuring temperature thermometer',no
'the position where someone (as a guard or sentry) stands or is assigned to stand; \"a soldier manned the entrance post\"; \"a sentry station\" post,station',yes
'a dense growth of bushes brush,brushwood,coppice,copse,thicket',yes
'a hollow cylindrical shape pipe,tube',yes
'a rail that is split from a log split rail,fence rail',no
'a napkin tied under the chin of a child while eating bib',no
'a depressing restraint; \"rain put a damper on our picnic plans\" damper',yes
'either of a pair of ear coverings (usually connected by a headband) that are worn to keep the ears warm in cold weather earmuff',no
'an implement that has hairs or bristles firmly set into a handle brush',no
'a mechanical device that compresses gasses compressor',yes
'someone who washes things for a living washer',yes
'a low single seat as in cars or planes bucket seat',no
'a chair that can be folded flat for storage folding chair',no
'a cord with an attached hook that is used to fire certain types of cannon lanyard,laniard',no
'a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it valve',yes
'a simple seat without a back or arms stool',no
'a loudspeaker that is designed to reproduce very low bass frequencies subwoofer',no
'all the copies of a work printed at one time; \"they ran off an initial printing of 2000 copies\" impression,printing',yes
'an enclosing framework on casters or wheels; helps babies learn to walk walker,baby-walker,go-cart',no
'(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language phone,speech sound,sound',yes
'the act of pulling; applying force to move something toward or with you; \"the pull up the hill had him breathing harder\"; \"his strenuous pulling strained his back\" pull,pulling',yes
'plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised; \"some actresses have more than one face lift\" face lift,facelift,lift,face lifting,cosmetic surgery,rhytidectomy,rhytidoplasty,nip and tuck',yes
'any of various old rustic dances involving kicking and leaping jig',yes
'(anatomy) any hollow cylindrical body structure tube,tube-shaped structure',no
'a fastener that is inserted into holes in two adjacent pieces and holds them together dowel,dowel pin,joggle',yes
'(pathology) a small abnormal patch on or inside the body plaque',yes
'(nautical) a line used for extending or fastening rigging on ships lanyard,laniard',yes
'a narrow thin strip of wood used as backing for plaster or to make latticework lath',no
'an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade float',yes
'support holding a football on end and above the ground preparatory to the kickoff tee,football tee',yes
'any rod-shaped bacterium rod',yes
'a relatively large open container that you fill with water and use to wash the body bathtub,bathing tub,tub',no
'a heavy towel or mat to stand on while drying yourself after a bath bath mat',no
'a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll track,rail,rails,runway',yes
'a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance; \"the tear duct was obstructed\"; \"the alimentary canal\"; \"poison is released through a channel in the snake\'s fangs\" duct,epithelial duct,canal,channel',yes
'a meal set out on a buffet at which guests help themselves buffet',yes
'a physician who is not a specialist but treats all illnesses general practitioner,GP',yes
'a fashionable hotel usually in a resort area resort hotel,spa',yes
'the sound made by a gentle blow pat,rap,tap',yes
'a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry Cross',yes
'metal device shaped in such a way that when it is inserted into the appropriate lock the lock\'s mechanism can be rotated key',no
'a small replica of a person; used as a toy doll,dolly',no
'a power tool for cutting wood power saw,saw,sawing machine',no
'a plant with a weak stem that derives support from climbing, twining, or creeping along a surface vine',yes
'uttering in an irritated tone rasp,rasping',yes
'a zone or area resembling an island island',yes
'small sofa that seats two people love seat,loveseat,tete-a-tete,vis-a-vis',no
'the part of a modern theater stage between the curtain and the orchestra (i.e., in front of the curtain) proscenium,apron,forestage',yes
'a decorative wall bracket for holding candles or other sources of light sconce',no
